Date,Weekly_Sales,yhat,error
2012-08-10,1007906.43,987613.7865144392,20292.643485560897
2012-08-17,969387.48,991333.79645235,-21946.31645235
2012-08-24,945318.47,999364.2843607947,-54045.81436079473
2012-08-31,987264.67,992913.66322213,-5648.993222129997
2012-09-07,1088248.4,962263.555662306,125984.84433769388
2012-09-14,901709.82,925961.2364512099,-24251.416451209923
2012-09-21,899803.38,915978.3690334659,-16174.989033465856
2012-09-28,919595.44,940939.4474486699,-21344.00744866999
2012-10-05,1069112.0,972751.4507104823,96360.54928951769
2012-10-12,982523.26,977681.2584504302,4842.0015495697735
2012-10-19,918170.5,956687.224804345,-38516.72480434505
2012-10-26,921264.52,944119.767702052,-22855.247702052002
