Date,Weekly_Sales,yhat,error
2012-08-10,47403826.18,46715471.974016845,688354.2059831545
2012-08-17,47355393.13,47436797.622916766,-81404.49291676283
2012-08-24,47449420.62,48220557.30774776,-771136.6877477616
2012-08-31,47159931.47,48003623.46348619,-843691.9934861884
2012-09-07,48330449.03,46263792.93205276,2066656.0979472399
2012-09-14,44226897.92,44000735.81336041,226162.10663959384
2012-09-21,44354937.08,42977395.66607588,1377541.4139241204
2012-09-28,43735713.56,43826511.034911156,-90797.47491115332
2012-10-05,47567053.49,45280590.08053621,2286463.409463793
2012-10-12,46128909.98,45642441.8655339,486468.1144660935
2012-10-19,45122443.96,44851169.81445453,271274.14554546773
2012-10-26,45544379.53,44595769.78098753,948609.7490124702
